[[-5, -22, -230], [15, -22, -230], [-5, -2, -230], [15, -2, -230], [-5, -22, -210], [15, -22, -210], [-5, -2, -210], [15, -2, -210]]
[[-5, -22, -231], [15, -22, -231], [-5, -2, -231], [15, -2, -231], [-5, -22, -211], [15, -22, -211], [-5, -2, -211], [15, -2, -211]]
[[-60, 213, 3593], [-40, 213, 3593], [-60, 233, 3593], [-40, 233, 3593], [-60, 213, 3613], [-40, 213, 3613], [-60, 233, 3613], [-40, 233, 3613]]
[[-5, -22, -230], [15, -22, -230], [-5, -2, -230], [15, -2, -230], [-5, -22, -210], [15, -22, -210], [-5, -2, -210], [15, -2, -210]]
[[-5, -22, -232], [15, -22, -232], [-5, -2, -232], [15, -2, -232], [-5, -22, -212], [15, -22, -212], [-5, -2, -212], [15, -2, -212]]
[[-72, 216, 3593], [-52, 216, 3593], [-72, 236, 3593], [-52, 236, 3593], [-72, 216, 3613], [-52, 216, 3613], [-72, 236, 3613], [-52, 236, 3613]]
[[-6, -22, -234], [14, -22, -234], [-6, -2, -234], [14, -2, -234], [-6, -22, -214], [14, -22, -214], [-6, -2, -214], [14, -2, -214]]
[[-6, -22, -235], [14, -22, -235], [-6, -2, -235], [14, -2, -235], [-6, -22, -215], [14, -22, -215], [-6, -2, -215], [14, -2, -215]]
[[-6, -22, -237], [14, -22, -237], [-6, -2, -237], [14, -2, -237], [-6, -22, -217], [14, -22, -217], [-6, -2, -217], [14, -2, -217]]
[[-6, -22, -238], [14, -22, -238], [-6, -2, -238], [14, -2, -238], [-6, -22, -218], [14, -22, -218], [-6, -2, -218], [14, -2, -218]]
[[-6, -22, -240], [14, -22, -240], [-6, -2, -240], [14, -2, -240], [-6, -22, -220], [14, -22, -220], [-6, -2, -220], [14, -2, -220]]
[[-6, -23, -241], [14, -23, -241], [-6, -3, -241], [14, -3, -241], [-6, -23, -221], [14, -23, -221], [-6, -3, -221], [14, -3, -221]]
[[-6, -23, -242], [14, -23, -242], [-6, -3, -242], [14, -3, -242], [-6, -23, -222], [14, -23, -222], [-6, -3, -222], [14, -3, -222]]
[[-6, -23, -242], [14, -23, -242], [-6, -3, -242], [14, -3, -242], [-6, -23, -222], [14, -23, -222], [-6, -3, -222], [14, -3, -222]]
[[-6, -23, -243], [14, -23, -243], [-6, -3, -243], [14, -3, -243], [-6, -23, -223], [14, -23, -223], [-6, -3, -223], [14, -3, -223]]
[[-6, -23, -244], [14, -23, -244], [-6, -3, -244], [14, -3, -244], [-6, -23, -224], [14, -23, -224], [-6, -3, -224], [14, -3, -224]]
[[-6, -23, -244], [14, -23, -244], [-6, -3, -244], [14, -3, -244], [-6, -23, -224], [14, -23, -224], [-6, -3, -224], [14, -3, -224]]
[[-6, -23, -245], [14, -23, -245], [-6, -3, -245], [14, -3, -245], [-6, -23, -225], [14, -23, -225], [-6, -3, -225], [14, -3, -225]]
