Kalman: No, Frame: 8, Points: [[111, -25, -248], [131, -25, -248], [111, -5, -248], [131, -5, -248], [111, -25, -228], [131, -25, -228], [111, -5, -228], [131, -5, -228]]
Kalman: No, Frame: 8, Points: [[71, -24, -210], [91, -24, -210], [71, -4, -210], [91, -4, -210], [71, -24, -190], [91, -24, -190], [71, -4, -190], [91, -4, -190]]
Kalman: No, Frame: 8, Points: [[-10, -23, -218], [10, -23, -218], [-10, -3, -218], [10, -3, -218], [-10, -23, -198], [10, -23, -198], [-10, -3, -198], [10, -3, -198]]
Kalman: Yes, Frame: 9, Points: [[67, -23, -181], [87, -23, -181], [67, -3, -181], [87, -3, -181], [67, -23, -161], [87, -23, -161], [67, -3, -161], [87, -3, -161]]
Kalman: Yes, Frame: 9, Points: [[-10, -23, -216], [10, -23, -216], [-10, -3, -216], [10, -3, -216], [-10, -23, -196], [10, -23, -196], [-10, -3, -196], [10, -3, -196]]
Kalman: Yes, Frame: 9, Points: [[110, -25, -226], [130, -25, -226], [110, -5, -226], [130, -5, -226], [110, -25, -206], [130, -25, -206], [110, -5, -206], [130, -5, -206]]
Kalman: No, Frame: 9, Points: [[68, -23, -182], [88, -23, -182], [68, -3, -182], [88, -3, -182], [68, -23, -162], [88, -23, -162], [68, -3, -162], [88, -3, -162]]
Kalman: No, Frame: 9, Points: [[-10, -23, -216], [10, -23, -216], [-10, -3, -216], [10, -3, -216], [-10, -23, -196], [10, -23, -196], [-10, -3, -196], [10, -3, -196]]
Kalman: No, Frame: 9, Points: [[112, -24, -227], [132, -24, -227], [112, -4, -227], [132, -4, -227], [112, -24, -207], [132, -24, -207], [112, -4, -207], [132, -4, -207]]
Kalman: Yes, Frame: 10, Points: [[65, -23, -153], [85, -23, -153], [65, -3, -153], [85, -3, -153], [65, -23, -133], [85, -23, -133], [65, -3, -133], [85, -3, -133]]
Kalman: Yes, Frame: 10, Points: [[-10, -23, -218], [10, -23, -218], [-10, -3, -218], [10, -3, -218], [-10, -23, -198], [10, -23, -198], [-10, -3, -198], [10, -3, -198]]
Kalman: No, Frame: 10, Points: [[65, -22, -154], [85, -22, -154], [65, -2, -154], [85, -2, -154], [65, -22, -134], [85, -22, -134], [65, -2, -134], [85, -2, -134]]
Kalman: No, Frame: 10, Points: [[-10, -22, -220], [10, -22, -220], [-10, -2, -220], [10, -2, -220], [-10, -22, -200], [10, -22, -200], [-10, -2, -200], [10, -2, -200]]
Kalman: Yes, Frame: 11, Points: [[-2665, 410, 3593], [-2645, 410, 3593], [-2665, 430, 3593], [-2645, 430, 3593], [-2665, 410, 3613], [-2645, 410, 3613], [-2665, 430, 3613], [-2645, 430, 3613]]
Kalman: Yes, Frame: 11, Points: [[-9, -23, -218], [11, -23, -218], [-9, -3, -218], [11, -3, -218], [-9, -23, -198], [11, -23, -198], [-9, -3, -198], [11, -3, -198]]
Kalman: No, Frame: 11, Points: [[-2665, 410, 3593], [-2645, 410, 3593], [-2665, 430, 3593], [-2645, 430, 3593], [-2665, 410, 3613], [-2645, 410, 3613], [-2665, 430, 3613], [-2645, 430, 3613]]
Kalman: No, Frame: 11, Points: [[-9, -22, -214], [11, -22, -214], [-9, -2, -214], [11, -2, -214], [-9, -22, -194], [11, -22, -194], [-9, -2, -194], [11, -2, -194]]
Kalman: Yes, Frame: 12, Points: [[-9, -23, -219], [11, -23, -219], [-9, -3, -219], [11, -3, -219], [-9, -23, -199], [11, -23, -199], [-9, -3, -199], [11, -3, -199]]
Kalman: No, Frame: 12, Points: [[-9, -22, -220], [11, -22, -220], [-9, -2, -220], [11, -2, -220], [-9, -22, -200], [11, -22, -200], [-9, -2, -200], [11, -2, -200]]
Kalman: Yes, Frame: 13, Points: [[-8, -23, -219], [12, -23, -219], [-8, -3, -219], [12, -3, -219], [-8, -23, -199], [12, -23, -199], [-8, -3, -199], [12, -3, -199]]
Kalman: Yes, Frame: 13, Points: [[-3187, 362, 3593], [-3167, 362, 3593], [-3187, 382, 3593], [-3167, 382, 3593], [-3187, 362, 3613], [-3167, 362, 3613], [-3187, 382, 3613], [-3167, 382, 3613]]
